Snapshot Date,Level2 Job Census Hier Desc,Head Count,Level2 Job Census Hier Cd
2009 Oct,Managers & Supervisors,1036,E2
2009 Oct,N/A or Not Classified,276,EZ
2009 Oct,Operational & Technical,3064,E4
2009 Oct,Professionals,4095,E3
2010 Oct,Managers & Supervisors,1002,E2
2010 Oct,N/A or Not Classified,181,EZ
2010 Oct,Operational & Technical,2884,E4
2010 Oct,Professionals,4088,E3
2011 Oct,Managers & Supervisors,899,E2
2011 Oct,N/A or Not Classified,115,EZ
2011 Oct,Operational & Technical,2865,E4
2011 Oct,Professionals,4213,E3
2012 Oct,Managers & Supervisors,907,E2
2012 Oct,N/A or Not Classified,91,EZ
2012 Oct,Operational & Technical,2984,E4
2012 Oct,Professionals,4461,E3
2013 Oct,Managers & Supervisors,953,E2
2013 Oct,N/A or Not Classified,54,EZ
2013 Oct,Operational & Technical,2976,E4
2013 Oct,Professionals,4739,E3
2014 Oct,Managers & Supervisors,961,E2
2014 Oct,N/A or Not Classified,38,EZ
2014 Oct,Operational & Technical,2939,E4
2014 Oct,Professionals,5021,E3
2015 Oct,Managers & Supervisors,949,E2
2015 Oct,Operational & Technical,2852,E4
2015 Oct,Professionals,5220,E3
2016 Oct,Managers & Supervisors,926,E2
2016 Oct,Operational & Technical,2674,E4
2016 Oct,Professionals,5023,E3
