Level1 Job Census Hier Desc,Level1 Job Census Hier Desc,Placeholder,Age At Census Range,Ethnic Desc,Calendar Yr Mo Name Concat,Campus Level Census Cnt
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,2 or More Races - Non-URM,2015 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,2 or More Races - Non-URM,2016 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,2 or More Races - URM,2015 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,2 or More Races - URM,2016 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2008 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2009 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2010 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2011 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2012 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2013 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2014 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2015 Oct,10
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,African American/Black,2016 Oct,19
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2008 Oct,72
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2009 Oct,76
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2010 Oct,75
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2011 Oct,82
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2012 Oct,84
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2013 Oct,77
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2014 Oct,75
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2015 Oct,73
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Chinese,2016 Oct,65
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2008 Oct,311
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2009 Oct,406
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2010 Oct,491
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2011 Oct,569
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2012 Oct,638
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2013 Oct,728
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2014 Oct,946
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2015 Oct,896
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Decline to State,2016 Oct,1055
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,European,2015 Oct,82
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,European,2016 Oct,56
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2008 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2009 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2010 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2011 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2012 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2013 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2014 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2015 Oct,8
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Filipino,2016 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Hispanic,2016 Oct,3
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2008 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2009 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2010 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2011 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2012 Oct,17
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2013 Oct,8
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2014 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2015 Oct,8
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Japanese,2016 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Korean,2015 Oct,9
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Korean,2016 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2008 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2009 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2010 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2011 Oct,4
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2012 Oct,8
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2013 Oct,19
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2014 Oct,22
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2015 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Mexican American/Chicano,2016 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Middle Eastern,2015 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Middle Eastern,2016 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Native American/Alaska Native,2014 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Native American/Alaska Native,2016 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,North African,2016 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2008 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2009 Oct,19
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2010 Oct,15
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2011 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2012 Oct,22
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2013 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2014 Oct,24
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2015 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Asian,2016 Oct,16
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2008 Oct,5
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2009 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2010 Oct,8
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2011 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2012 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2013 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2014 Oct,21
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2015 Oct,23
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Other Hispanic/Latino,2016 Oct,13
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2008 Oct,6
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2009 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2010 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2011 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2012 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2013 Oct,11
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2014 Oct,27
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2015 Oct,14
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,South Asian,2016 Oct,7
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Vietnamese,2015 Oct,1
Affiliates/Non-Employees,Affiliates/Non-Employees,-,29 Years Old and Under,Vietnamese,2016 Oct,3
